"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"UNITED KIN","Vat dyes and preparations based thereon",213698593,83925,2546,0.01
"BRITISH IN","Reactive dyes and preparations based thereon",5771403,350,16490,0
"GERMANY, F","Reactive dyes and preparations based thereon",169729795,6600,25717,0.01
"INDIA","Reactive dyes and preparations based thereon",2711712,500,5423,0
"JAPAN","Reactive dyes and preparations based thereon",45325016,4980,9101,0
"SWITZERLAN","Reactive dyes and preparations based thereon",225554807,9140,24678,0.01
"UNITED KIN","Reactive dyes and preparations based thereon",15420010,1250,12336,0
"BELGIUM","Pigments and preparations based thereon",837900,90,9310,0
"TAIWAN, PR","Pigments and preparations based thereon",11958820,23,519949,0
"GERMANY, F","Pigments and preparations based thereon",29229378,6145,4757,0
"UNITED KIN","Pigments and preparations based thereon",15598467,40500,385,0
"TANZANIA","Pigments and preparations based thereon",2477926,20,123896,0
"BELGIUM","Other synthetic organic colouring matter, nes",2013350,20,100668,0
"CHINA","Other synthetic organic colouring matter, nes",24351103,2000,12176,0
"FRANCE","Other synthetic organic colouring matter, nes",14582196,1735,8405,0
"GERMANY, F","Other synthetic organic colouring matter, nes",220470883,27010,8163,0.01
"HONG KONG","Other synthetic organic colouring matter, nes",5941486,500,11883,0
"INDIA","Other synthetic organic colouring matter, nes",111560652,22000,5071,0
"JAPAN","Other synthetic organic colouring matter, nes",43001880,2850,15088,0.01
"NETHERLAND","Other synthetic organic colouring matter, nes",8709428,3442,2530,0
"SWITZERLAN","Other synthetic organic colouring matter, nes",195573428,14850,13170,0
"UNITED KIN","Other synthetic organic colouring matter, nes",55512119,8059,6888,0.01
"BELGIUM","Synthetic organic products used as fluorescent brightening agents, etc",496635,300,1655,0
"CHINA","Synthetic organic products used as fluorescent brightening agents, etc",2753251,250,11013,0
"GERMANY, F","Synthetic organic products used as fluorescent brightening agents, etc",19140886,4850,3947,0
"INDIA","Synthetic organic products used as fluorescent brightening agents, etc",2197857,500,4396,0
"ITALY","Synthetic organic products used as fluorescent brightening agents, etc",5307463,275,19300,0
"NETHERLAND","Synthetic organic products used as fluorescent brightening agents, etc",1214450,800,1518,0
"SWITZERLAN","Synthetic organic products used as fluorescent brightening agents, etc",12294607,1150,10691,0
"UNITED KIN","Synthetic organic products used as fluorescent brightening agents, etc",7181925,1514,4744,0
"CHINA","Colour lakes; preparations based on colour lakes",8990960,250,35964,0
"GERMANY, F","Colour lakes; preparations based on colour lakes",4113433,40,102836,0
"UNITED KIN","Colour lakes; preparations based on colour lakes",42984121,2000,21492,0
"UNITED KIN","Colouring matter of vegetable or animal origin",179098,600,298,0
"GERMANY, F","Pigments and preparations based on titanium dioxide",4195795,2980,1408,0
"JAPAN","Pigments and preparations based on titanium dioxide",6393438,5000,1279,0
"SWITZERLAN","Pigments and preparations based on titanium dioxide",6287559,500,12575,0
"UNITED STA","Pigments and preparations based on titanium dioxide",10815596,6200,1744,0
"GERMANY, F","Pigments and prepareation based on chromium compounds",8581118,500,17162,0
"ITALY","Pigments and prepareation based on chromium compounds",636956,100,6370,0
"UNITED KIN","Pigments and prepareation based on chromium compounds",20999179,900,23332,0
"UNITED KIN","Pigments and preparations based on cadmium compounds",4039578,290,13930,0
"UNITED KIN","Ultramarine and preparations based thereon",3553819,19000,187,0
"SOUTH AFRI","Pigments and preparations based on hexacyanoferrates",99766,30,3326,0
"BELGIUM","Colouring matter and other preparations, nes",12932750,7500,1724,0
"FRANCE","Colouring matter and other preparations, nes",7176623,4970,1444,0
"GERMANY, F","Colouring matter and other preparations, nes",9027671,5190,1739,0
"UNITED KIN","Colouring matter and other preparations, nes",6911758,8140,849,0
"SAMOA","Colouring matter and other preparations, nes",497427,25,19897,0
"UNITED KIN","Inorganic products of a kind used as luminophores",1908093,120,15901,0
"BELGIUM","Printing ink, black",2596320,5400,481,0
"CANADA","Printing ink, black",688746,409,1684,0
"GERMANY, F","Printing ink, black",3330051,2095032,2,0
"NETHERLAND","Printing ink, black",5128396,4798,1069,0
"NIGERIA","Printing ink, black",21177226,1000,21177,0
"SWEDEN","Printing ink, black",447468,100,4475,0
"UNITED KIN","Printing ink, black",27848231,7190,3873,0
"UNITED STA","Printing ink, black",122464,406,302,0
"FRANCE","Printing ink, other than black",24346361,1830,13304,0
"INDIA","Printing ink, other than black",483204,150,3221,0
"JAPAN","Printing ink, other than black",12734443,1751,7273,0
"NETHERLAND","Printing ink, other than black",700134,40,17503,0
"NIGERIA","Printing ink, other than black",988044,120,8234,0
"UNITED KIN","Printing ink, other than black",74469399,13314,5593,0
"AUSTRALIA","Paints and varnishes …, dispersed in an aqueous medium",11876203,18000,660,0
"BRAZIL","Paints and varnishes …, dispersed in an aqueous medium",12328174,8009,1539,0
"CANADA","Paints and varnishes …, dispersed in an aqueous medium",1016625,6100,167,0
"DENMARK","Paints and varnishes …, dispersed in an aqueous medium",662855,1028,645,0
"FRANCE","Paints and varnishes …, dispersed in an aqueous medium",24940008,5125,4866,0
"GERMANY, F","Paints and varnishes …, dispersed in an aqueous medium",7885471,6632,1189,0
"INDIA","Paints and varnishes …, dispersed in an aqueous medium",17806459,21284,837,0
"ITALY","Paints and varnishes …, dispersed in an aqueous medium",63665,65,979,0
"COTE D' IVO","Paints and varnishes …, dispersed in an aqueous medium",450660,250,1803,0
"LEBANON","Paints and varnishes …, dispersed in an aqueous medium",4165531,1785,2334,0
"NETHERLAND","Paints and varnishes …, dispersed in an aqueous medium",5081087,956,5315,0
"SAUDI ARAB","Paints and varnishes …, dispersed in an aqueous medium",706776,280,2524,0
"SWEDEN","Paints and varnishes …, dispersed in an aqueous medium",2639459,250,10558,0
"SWITZERLAN","Paints and varnishes …, dispersed in an aqueous medium",984048,24000,41,0
"UNITED KIN","Paints and varnishes …, dispersed in an aqueous medium",268598680,254531,1055,0.01
"UNITED STA","Paints and varnishes …, dispersed in an aqueous medium",154657309,87230,1773,0.01
"BELGIUM","Paints and varnishes …, dispersed in an non-aqueous medium",53685,25,2147,0
"BRAZIL","Paints and varnishes …, dispersed in an non-aqueous medium",297615171,308511,965,0.02
"DENMARK","Paints and varnishes …, dispersed in an non-aqueous medium",4393974,208,21125,0
"FRANCE","Paints and varnishes …, dispersed in an non-aqueous medium",26153486,16877,1550,0
"GERMANY, F","Paints and varnishes …, dispersed in an non-aqueous medium",17315144,6573,2634,0
"GREECE","Paints and varnishes …, dispersed in an non-aqueous medium",30574,300,102,0
"ISRAEL","Paints and varnishes …, dispersed in an non-aqueous medium",175492,60,29253,0
"ITALY","Paints and varnishes …, dispersed in an non-aqueous medium",28537887,24663,1157,0
"COTE D' IVO","Paints and varnishes …, dispersed in an non-aqueous medium",1616089,200,8080,0
"JAPAN","Paints and varnishes …, dispersed in an non-aqueous medium",2431000,34,71500,0
"KOREA REPU","Paints and varnishes …, dispersed in an non-aqueous medium",24226310,10150,2387,0
"NETHERLAND","Paints and varnishes …, dispersed in an non-aqueous medium",214289624,211638,1013,0.01
"ZIMBABWE","Paints and varnishes …, dispersed in an non-aqueous medium",3547102,1248,2842,0
"UNITED KIN","Paints and varnishes …, dispersed in an non-aqueous medium",840656281,702900,1196,0
"UNITED STA","Paints and varnishes …, dispersed in an non-aqueous medium",41486062,28791,1441,0
"CANADA","Other paints and varnishes, nes",10936952,1970,5552,0
"GERMANY, F","Other paints and varnishes, nes",1561604,258,6053,0
"ITALY","Other paints and varnishes, nes",635257,366,1736,0
"JAPAN","Other paints and varnishes, nes",4858840,72,67484,0
"QATAR","Other paints and varnishes, nes",355191,100,3552,0
"SOUTH AFRI","Other paints and varnishes, nes",179760,60,2996,0
"UNITED KIN","Other paints and varnishes, nes",38049907,84958,448,0
"UNITED STA","Other paints and varnishes, nes",196648,89,2210,0
"BELGIUM","Pigments dispersed in non-aqueous medium, nes",2069243,100,20692,0
"DENMARK","Pigments dispersed in non-aqueous medium, nes",225018,260,865,0
"GERMANY, F","Pigments dispersed in non-aqueous medium, nes",2543817,426000,6,0
"NETHERLAND","Pigments dispersed in non-aqueous medium, nes",971216,118,8231,0
"UNITED KIN","Pigments dispersed in non-aqueous medium, nes",11967126,5431,2203,0
"CHINA","Prepared pigments, prepared opacifiers and prepared colours, etc",81134533,20120,4033,0
"GERMANY, F","Prepared pigments, prepared opacifiers and prepared colours, etc",5159547,720,7166,0
"HONG KONG","Prepared pigments, prepared opacifiers and prepared colours, etc",90545458,150000,604,0
"SWITZERLAN","Prepared pigments, prepared opacifiers and prepared colours, etc",7896658,870,9077,0
"UNITED KIN","Prepared pigments, prepared opacifiers and prepared colours, etc",2155198,2220,971,0
"CANADA","Artists', students' or signboard painters' colours, modifying tints, etc",3574703,285,12543,0
"NETHERLAND","Artists', students' or signboard painters' colours, modifying tints, etc",3153337,422,7472,0
"NETHERLAND","Prepared driers for paint",300097,1204,249,0
"SPAIN","Prepared driers for paint",295091,45,6558,0
"AUSTRALIA","Glaziers' putty; grafting putty; resin cements, caulking compunds …",1126238,60,18771,0
"BRAZIL","Glaziers' putty; grafting putty; resin cements, caulking compunds …",30791634,29582,1041,0
"FRANCE","Glaziers' putty; grafting putty; resin cements, caulking compunds …",998689,1280,780,0
"GERMANY, F","Glaziers' putty; grafting putty; resin cements, caulking compunds …",381166,46,8286,0
"ISRAEL","Glaziers' putty; grafting putty; resin cements, caulking compunds …",79933,60,1332,0
"ITALY","Glaziers' putty; grafting putty; resin cements, caulking compunds …",26080574,19502,1337,0
"LEBANON","Glaziers' putty; grafting putty; resin cements, caulking compunds …",376226,600,627,0
"NETHERLAND","Glaziers' putty; grafting putty; resin cements, caulking compunds …",17459911,18500,944,0
"UNITED KIN","Glaziers' putty; grafting putty; resin cements, caulking compunds …",518184381,601193,862,0.03
"UNITED STA","Glaziers' putty; grafting putty; resin cements, caulking compunds …",34764560,41935,829,0
"CHAD","Organic coposite solvents and thinners, nes; paint or varnish removers",331376945,148,2239033,0.02
"CHINA","Organic coposite solvents and thinners, nes; paint or varnish removers",193522,133,1455,0
"FRANCE","Organic coposite solvents and thinners, nes; paint or varnish removers",1569689,300,5232,0
"GERMANY, F","Organic coposite solvents and thinners, nes; paint or varnish removers",7350016,189860,39,0
"HONG KONG","Organic coposite solvents and thinners, nes; paint or varnish removers",1240033,190,6526,0
"ISRAEL","Organic coposite solvents and thinners, nes; paint or varnish removers",49282,60,821,0
"KOREA REPU","Organic coposite solvents and thinners, nes; paint or varnish removers",1364871,1531,891,0
"MALAYSIA","Organic coposite solvents and thinners, nes; paint or varnish removers",1358260,300,4528,0
"NETHERLAND","Organic coposite solvents and thinners, nes; paint or varnish removers",14773151,102299,144,0
"QATAR","Organic coposite solvents and thinners, nes; paint or varnish removers",355191,100,3552,0
"SWITZERLAN","Organic coposite solvents and thinners, nes; paint or varnish removers",12849198,48000,268,0
"UNITED KIN","Organic coposite solvents and thinners, nes; paint or varnish removers",285506188,491443,581,0.02
"UNITED STA","Organic coposite solvents and thinners, nes; paint or varnish removers",6303664,1512,4169,0
"SWITZERLAN","Vitamins A and their derivatives, unmixed",771456,36,21429,0
"SWITZERLAN","Vitamins B and their derivatives, unmixed",176622,36,4906,0
"UNITED KIN","Vitamins B and their derivatives, unmixed",129763,10,12976,0
"UNITED STA","Vitamins B and their derivatives, unmixed",1313185,991,1325,0
"UNITED KIN","Vitamin C and its derivatives, unmixed",11747078,1000,11747,0
"UNITED STA","Vitamin C and its derivatives, unmixed",280667,1,280667,0
"SWITZERLAN","Vitamin E and its derivatives, unmixed",449881,36,12497,0
"UNITED STA","Vitamin E and its derivatives, unmixed",2206872,819,2695,0
"BELGIUM","Other vitamins and their derivatives, unmixed",149833,23,6514,0
"GERMANY, F","Other vitamins and their derivatives, unmixed",1451971,106,13698,0
"NETHERLAND","Other vitamins and their derivatives, unmixed",988450,12,82371,0
"UNITED KIN","Other vitamins and their derivatives, unmixed",4274217,720,5936,0
"UNITED STA","Other vitamins and their derivatives, unmixed",6307495,2546,2477,0
"BELGIUM","Intermixtures of provitamins and vitamins (incl. Natural concentrates)",7291332,300,24304,0
"NETHERLAND","Intermixtures of provitamins and vitamins (incl. Natural concentrates)",15671337,5383,2911,0
"UNITED KIN","Intermixtures of provitamins and vitamins (incl. Natural concentrates)",303505,30,10117,0
"GERMANY, F","Other antibiotics, nes",2068715,1920,1077,0
"GERMANY, F","Other vegetable alkaloids and their salts; derivatives of of alkaloids,",27491983,17500,1571,0
"SWEDEN","Other vegetable alkaloids and their salts; derivatives of of alkaloids,",975997,60,16267,0
"UNITED KIN","Glands and other organs, for organo-therapeutic uses, dried, etc",1988985,220,9041,0
"AUSTRIA","Antisera and other blood fractions; vaccines",12874656,1496,8606,0
"BELGIUM","Antisera and other blood fractions; vaccines",72902208,22778,3201,0
"CANADA","Antisera and other blood fractions; vaccines",923737,450,2053,0
"FRANCE","Antisera and other blood fractions; vaccines",7517558,561,13400,0
"GERMANY, F","Antisera and other blood fractions; vaccines",37358057,1427,26179,0
"ISRAEL","Antisera and other blood fractions; vaccines",16428936,2000,8214,0
"KOREA REPU","Antisera and other blood fractions; vaccines",972576,83,11718,0
"NETHERLAND","Antisera and other blood fractions; vaccines",66098745,5158,12815,0
"NETHERLAND","Antisera and other blood fractions; vaccines",2600527,60,43342,0
"NIGERIA","Antisera and other blood fractions; vaccines",18115471,2500,7246,0
"SWITZERLAN","Antisera and other blood fractions; vaccines",12626840,1700,7428,0
"UNITED KIN","Antisera and other blood fractions; vaccines",7935146,1147,6918,0
"UNITED STA","Antisera and other blood fractions; vaccines",47279169,5645,8375,0
"UNITED STA","Antisera and other blood fractions; vaccines",4008760,875,4581,0
"BELGIUM","Human blood; animal blood prepared for therapeutic or prophylactic uses",9035889,570,15852,0
"CANADA","Human blood; animal blood prepared for therapeutic or prophylactic uses",202537,8,25317,0
"GERMANY, F","Human blood; animal blood prepared for therapeutic or prophylactic uses",349887,12,29157,0
"NETHERLAND","Human blood; animal blood prepared for therapeutic or prophylactic uses",2944975,429,6865,0
"UNITED STA","Human blood; animal blood prepared for therapeutic or prophylactic uses",7787157,49,158922,0
"BULGARIA","Wadding, gauze, bandages and similar articles, for retaail sale",11173792,1000,11174,0
"CHINA","Wadding, gauze, bandages and similar articles, for retaail sale",29804017,15600,1911,0
"FRANCE","Wadding, gauze, bandages and similar articles, for retaail sale",644646,7222,89,0
"GERMANY, F","Wadding, gauze, bandages and similar articles, for retaail sale",78350874,22775,3440,0
"INDIA","Wadding, gauze, bandages and similar articles, for retaail sale",140060,9,15562,0
"NETHERLAND","Wadding, gauze, bandages and similar articles, for retaail sale",4571908,400,11430,0
"SWEDEN","Wadding, gauze, bandages and similar articles, for retaail sale",757260,600,1262,0
"SWITZERLAN","Wadding, gauze, bandages and similar articles, for retaail sale",251218,200,1256,0
"UNITED KIN","Wadding, gauze, bandages and similar articles, for retaail sale",84913695,9813,8653,0
"UNITED STA","Wadding, gauze, bandages and similar articles, for retaail sale",10453407,3530,2961,0
"GERMANY, F","Blood-grouping reagents",4742549,73,64966,0
"NETHERLAND","Blood-grouping reagents",1644410,15,109627,0
"SPAIN","Blood-grouping reagents",28235581,22610,1249,0
"UNITED KIN","Blood-grouping reagents",7337790,852,8612,0
"UNITED STA","Blood-grouping reagents",5169270,177,29205,0
"FRANCE","Opacifying preparations for x-ray examinations; diagnostic reagents",3022056,50,60441,0
"GERMANY, F","Opacifying preparations for x-ray examinations; diagnostic reagents",6381843,35,182338,0
"NETHERLAND","Opacifying preparations for x-ray examinations; diagnostic reagents",2105230,25,84209,0
"UNITED KIN","Opacifying preparations for x-ray examinations; diagnostic reagents",1567429,11,142494,0
